years,0.05,0.17,0.5,0.83,0.95
2020,0.048,0.052,0.06,0.074,0.087
2030,0.076,0.085,0.102,0.127,0.152
2040,0.103,0.116,0.142,0.184,0.223
2050,0.129,0.147,0.184,0.244,0.298
2060,0.152,0.175,0.225,0.304,0.375
2070,0.173,0.202,0.266,0.367,0.455
2080,0.194,0.228,0.307,0.43,0.535
2090,0.214,0.253,0.349,0.494,0.616
2100,0.233,0.279,0.392,0.559,0.701
2110,0.25,0.302,0.432,0.622,0.782
2120,0.265,0.323,0.471,0.683,0.863
2130,0.277,0.341,0.506,0.741,0.943
2140,0.288,0.358,0.54,0.799,1.022
2150,0.297,0.374,0.572,0.853,1.097
2160,0.306,0.389,0.604,0.909,1.174
2170,0.315,0.403,0.636,0.964,1.251
2180,0.323,0.417,0.667,1.019,1.324
2190,0.331,0.431,0.698,1.073,1.398
2200,0.339,0.445,0.729,1.128,1.472
2210,0.347,0.458,0.76,1.182,1.546
2220,0.354,0.472,0.791,1.236,1.62
2230,0.362,0.485,0.821,1.29,1.696
2240,0.37,0.499,0.852,1.343,1.769
2250,0.377,0.512,0.882,1.398,1.842
2260,0.385,0.525,0.913,1.452,1.916
2270,0.392,0.538,0.942,1.506,1.992
2280,0.399,0.55,0.972,1.56,2.064
2290,0.405,0.563,1.002,1.614,2.138
2300,0.412,0.575,1.032,1.667,2.21
