years,0.05,0.17,0.5,0.83,0.95
2020,0.048,0.052,0.062,0.073,0.085
2030,0.076,0.085,0.104,0.14,0.171
2040,0.103,0.119,0.151,0.223,0.285
2050,0.134,0.156,0.202,0.313,0.403
2060,0.168,0.192,0.254,0.402,0.518
2070,0.197,0.227,0.308,0.494,0.644
2080,0.225,0.261,0.361,0.59,0.778
2090,0.252,0.294,0.414,0.688,0.93
2100,0.279,0.327,0.468,0.795,1.088
2110,0.302,0.358,0.523,0.903,1.247
2120,0.325,0.387,0.577,1.011,1.41
2130,0.344,0.414,0.631,1.122,1.564
2140,0.363,0.44,0.685,1.232,1.718
2150,0.38,0.464,0.74,1.344,1.877
2160,0.398,0.488,0.798,1.458,2.043
2170,0.414,0.512,0.856,1.568,2.212
2180,0.43,0.534,0.915,1.688,2.393
2190,0.446,0.556,0.975,1.808,2.57
2200,0.461,0.579,1.036,1.924,2.751
2210,0.476,0.6,1.097,2.043,2.942
2220,0.49,0.62,1.155,2.163,3.137
2230,0.504,0.641,1.211,2.281,3.333
2240,0.518,0.661,1.265,2.401,3.531
2250,0.528,0.681,1.316,2.521,3.729
2260,0.531,0.701,1.367,2.644,3.936
2270,0.535,0.719,1.416,2.769,4.145
2280,0.54,0.738,1.465,2.889,4.353
2290,0.542,0.756,1.513,3.01,4.565
2300,0.544,0.773,1.561,3.133,4.772
